_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001428,0.343071312,0.301364899,0.000584364,0.005437921,0.006770077,0.000191340,0.000000204,0.000000356,0.166805208,0.094226904,0.239997759,0.255762875,0.104674026,0.025739348,0.045830145,0.129804671,0.032225832,0.029528398,0.410212189,0.395904094,0.004116074,0.003584307,0.001110563,0.005344703,0.088029489,0.000055291,0.002565799,0.051832773,0.008389592,0.000023456,0.000037615,0.011892980,0.001866808,0.047280494,0.084537849,0.104965597,0.075527243,0.002330640,0.000165491,0.003863936,0.012340231,0.000318592,0.009656170,0.025690995,0.020462610,0.000868855,0.004991102,0.013426441,0.012638140,0.000000776,0.000002216
0.000001549,0.349707365,0.300501704,0.000486656,0.005682514,0.007294248,0.000222174,0.000000198,0.000000378,0.165529728,0.093785033,0.239836514,0.252101123,0.077291489,0.034942266,0.057724323,0.106521264,0.032739718,0.030023804,0.397824734,0.391847402,0.004141910,0.003621016,0.001253269,0.006502766,0.093705937,0.000051715,0.002700321,0.052934002,0.010635092,0.000021666,0.000034081,0.010726912,0.002532546,0.054100480,0.086318761,0.112504512,0.104314417,0.001756867,0.000110014,0.004444649,0.015116936,0.000340047,0.010064947,0.032967895,0.029200446,0.000922826,0.005693316,0.014254382,0.014984806,0.000000718,0.000002346
0.000001660,0.346408308,0.302480757,0.000601680,0.005001639,0.006755101,0.000214791,0.000000204,0.000000401,0.165707022,0.090171479,0.222591460,0.233202398,0.077626362,0.033147477,0.057683412,0.110264987,0.035148878,0.033216372,0.391211241,0.401763320,0.004019585,0.003746127,0.001154582,0.007095229,0.095317028,0.000052570,0.002777675,0.064093269,0.010310899,0.000018866,0.000030549,0.010412058,0.002469135,0.047947116,0.079647459,0.123163849,0.098590061,0.001643053,0.000126585,0.004792051,0.018722432,0.000383407,0.010946064,0.029359097,0.024255550,0.000796516,0.004635159,0.014939590,0.014766041,0.000000717,0.000002408
0.000001722,0.343253791,0.297534138,0.000617757,0.005172173,0.006860924,0.000209627,0.000000212,0.000000410,0.164505869,0.090432175,0.221876919,0.233206287,0.078754574,0.032584872,0.057271324,0.111936837,0.035255700,0.033112623,0.394551724,0.397883654,0.004053614,0.003738665,0.001139843,0.006089666,0.090500124,0.000057494,0.002683551,0.061989956,0.009880252,0.000020035,0.000033334,0.010057050,0.002159507,0.045857836,0.077406026,0.119311161,0.097548947,0.001625451,0.000142843,0.004812173,0.017970316,0.000398235,0.011099731,0.029666509,0.025365474,0.000765474,0.005506502,0.014907721,0.014795609,0.000000739,0.000002472
0.000001699,0.311597139,0.272381902,0.000840926,0.005863057,0.007297764,0.000231804,0.000000248,0.000000439,0.162195832,0.085832864,0.206207156,0.215753570,0.109101437,0.022009904,0.046217281,0.150466487,0.038545411,0.036361489,0.404787600,0.404859096,0.004161539,0.004042640,0.001263809,0.008615812,0.103941105,0.000046300,0.002855892,0.057394978,0.009695466,0.000023097,0.000035306,0.011636055,0.002295328,0.056200024,0.094600633,0.125243351,0.096074544,0.001610911,0.000129823,0.004323511,0.016664876,0.000340000,0.011104992,0.036729738,0.030188337,0.001084488,0.005565540,0.016559847,0.016624851,0.000000774,0.000002817
0.000001896,0.308374256,0.300140470,0.000872776,0.007035164,0.005099655,0.000290927,0.000000333,0.000000461,0.172741041,0.117075115,0.209451422,0.215657264,0.043781284,0.052043408,0.091829225,0.082472183,0.039703280,0.037006967,0.394371063,0.414884835,0.003966077,0.003216438,0.001462723,0.006598392,0.099802755,0.000051154,0.002256347,0.017405633,0.008907315,0.000060077,0.000071353,0.013109242,0.001167559,0.074194171,0.111275405,0.080126442,0.085451938,0.001813993,0.000231263,0.003065226,0.012014214,0.000401799,0.015688753,0.084911719,0.076547019,0.003239003,0.010049721,0.044294428,0.063553415,0.000000994,0.000003490
0.000001444,0.252377570,0.249473825,0.001050334,0.009277651,0.006223725,0.000203425,0.000000263,0.000000332,0.167482898,0.105051622,0.198741972,0.212095380,0.059036512,0.044099145,0.068642274,0.081633791,0.040621053,0.036544606,0.397811234,0.403195173,0.004191998,0.002946477,0.000945578,0.011766183,0.122450344,0.000039948,0.002024325,0.018682744,0.008241368,0.000051190,0.000069383,0.013735691,0.001680736,0.079000816,0.124059252,0.069389693,0.076354526,0.002401900,0.000186630,0.004718349,0.011728127,0.000766269,0.021684445,0.012477525,0.010142609,0.000834810,0.002595457,0.047109481,0.049439218,0.000001036,0.000002498
0.000001587,0.260304749,0.256262422,0.001112630,0.010031423,0.007009355,0.000197412,0.000000311,0.000000328,0.165138513,0.102305412,0.243909150,0.254891992,0.070909515,0.034782801,0.060331836,0.098143801,0.030279752,0.026349822,0.404988527,0.378481120,0.004351623,0.002870525,0.000650148,0.016160239,0.129316509,0.000032028,0.002009898,0.010263491,0.010239397,0.000106015,0.000137247,0.007140270,0.001366054,0.072312109,0.094818674,0.066672526,0.121413350,0.001795902,0.000218183,0.010091459,0.015101651,0.001786812,0.027557271,0.006137731,0.005770311,0.000659653,0.002462363,0.032827675,0.040019520,0.000000914,0.000002982
0.000000536,0.356248021,0.374946058,0.000766643,0.005981532,0.004776462,0.000027276,0.000000086,0.000000129,0.170147866,0.124731310,0.206681430,0.231268853,0.052779131,0.029581202,0.098649554,0.128666446,0.039050158,0.032357331,0.503462553,0.432640046,0.004325053,0.002414170,0.000206159,0.001576856,0.007826246,0.000039601,0.000760592,0.008206782,0.004708783,0.000055314,0.000071869,0.003846456,0.000483388,0.002597733,0.004090208,0.032745890,0.028790191,0.016473938,0.001590665,0.003651406,0.003422435,0.001278921,0.004661304,0.001723761,0.001599573,0.000474890,0.001555053,0.000227620,0.000277093,0.000000708,0.000000647
0.000000616,0.263774246,0.235802859,0.001178226,0.009382851,0.009809248,0.000052538,0.000000171,0.000000170,0.127715826,0.059836324,0.149884030,0.171922415,0.067617208,0.018083503,0.080932111,0.173945919,0.050621800,0.041816819,0.554084420,0.367709100,0.005928795,0.004823009,0.000318607,0.005195085,0.031260405,0.000041311,0.001204835,0.005468786,0.007681681,0.000060073,0.000070544,0.006892548,0.000672450,0.013493597,0.016864114,0.027181068,0.048274435,0.008933465,0.000771207,0.005140495,0.007824302,0.000889115,0.006786652,0.001277033,0.001303104,0.000428184,0.001145520,0.000596649,0.000892085,0.000000671,0.000001252
0.000000487,0.261826038,0.258263886,0.000647219,0.013393806,0.010712971,0.000037467,0.000000102,0.000000136,0.128117830,0.074129261,0.160513759,0.177991495,0.060790464,0.023536418,0.080699310,0.142980739,0.046920981,0.041492935,0.492770612,0.409019679,0.006011207,0.003965171,0.000206902,0.006409473,0.027779061,0.000036542,0.001526203,0.004819282,0.005972747,0.000034428,0.000042693,0.006982735,0.001674406,0.008532511,0.009759326,0.018840054,0.038808625,0.026195101,0.000401536,0.006936043,0.010028666,0.001050984,0.004532565,0.000401882,0.000386077,0.000230066,0.000649031,0.000211815,0.000314891,0.000000556,0.000000741
0.000001036,0.302997559,0.306678832,0.000488643,0.013742785,0.009914508,0.000022574,0.000000052,0.000000167,0.145781338,0.102375492,0.085543633,0.100527480,0.064946063,0.013795209,0.100527242,0.249535203,0.091874368,0.077722639,0.619858623,0.459396005,0.004609646,0.002778237,0.000065759,0.006524656,0.007253082,0.000006623,0.001728537,0.018828062,0.047349095,0.000065132,0.000069635,0.000187786,0.000625814,0.000491702,0.000350162,0.229950413,0.285071433,0.001613019,0.001630863,0.024331469,0.025298307,0.017544493,0.000888761,0.003076303,0.002884627,0.000768206,0.001143770,0.000009519,0.000019193,0.000000238,0.000000608
0.000000885,0.406584620,0.412460953,0.000231737,0.008610575,0.006951736,0.000019228,0.000000033,0.000000115,0.558746338,0.474329263,0.561129272,0.549060702,0.128930777,0.030283161,0.048626166,0.128771111,0.012320999,0.011340108,0.692600965,0.722465873,0.000690293,0.000219198,0.000076588,0.004029006,0.004802523,0.000006736,0.001174033,0.007106017,0.037945762,0.000352653,0.000343404,0.000102010,0.000727698,0.000493860,0.000425639,0.192203373,0.355182558,0.000683360,0.000604698,0.014820116,0.014924215,0.016060440,0.001076150,0.008130686,0.009346577,0.002445869,0.005870318,0.000017904,0.000043799,0.000000225,0.000000436
0.000000915,0.409591943,0.414477050,0.000231570,0.008124433,0.006311104,0.000019337,0.000000035,0.000000119,0.561856866,0.482501745,0.566406608,0.552060604,0.125234455,0.032314487,0.049778529,0.122127421,0.012583762,0.011288032,0.697942734,0.728716373,0.000700593,0.000211834,0.000076316,0.003671361,0.005134148,0.000007572,0.001298733,0.006680128,0.039045881,0.000396943,0.000392082,0.000097109,0.000527043,0.000509407,0.000433931,0.185290366,0.355146825,0.000666426,0.000834296,0.015745999,0.016218802,0.016019952,0.001020021,0.007551071,0.008954514,0.002479284,0.006638017,0.000016691,0.000041956,0.000000229,0.000000453
0.000001106,0.326187164,0.306788504,0.000749528,0.007796248,0.005926582,0.000313964,0.000000156,0.000000270,0.594105780,0.516447783,0.594290555,0.591048837,0.037502110,0.112386577,0.112586945,0.041437276,0.010918139,0.010711889,0.722936988,0.712939978,0.000615307,0.000215564,0.001879654,0.008035403,0.071651712,0.000035345,0.004545263,0.011024187,0.044369396,0.000090078,0.000076888,0.003784956,0.000189798,0.084637448,0.134898081,0.076631650,0.136917219,0.001188823,0.000969156,0.003960210,0.014705651,0.000203928,0.002623950,0.099356070,0.114989042,0.004955382,0.014088263,0.002158723,0.004176734,0.000000619,0.000001726
0.000001063,0.332556635,0.321552694,0.000672579,0.007502439,0.005677527,0.000300097,0.000000143,0.000000258,0.601410687,0.517173529,0.593663931,0.591529369,0.039463367,0.106902674,0.109465763,0.043668285,0.010840653,0.010835255,0.722146690,0.722787142,0.000594157,0.000212732,0.001773740,0.008500791,0.073437110,0.000034602,0.005005842,0.012172791,0.046294857,0.000076610,0.000065705,0.003763879,0.000210806,0.078952730,0.127149776,0.081901781,0.143609449,0.001202541,0.000908292,0.004110105,0.015479976,0.000200426,0.002397000,0.086015463,0.098124228,0.004299553,0.011421339,0.001751008,0.003322009,0.000000563,0.000001605
0.000001461,0.437699497,0.432891339,0.000325439,0.003364000,0.004141593,0.000667697,0.000000236,0.000000381,0.503049254,0.489691049,0.427346677,0.418519348,0.069289930,0.057418108,0.064503282,0.072257370,0.021933008,0.021504568,0.773231626,0.722634315,0.000939808,0.000218422,0.002250778,0.010294116,0.105748340,0.000055678,0.001552913,0.004859912,0.009267220,0.000639736,0.000564592,0.002889809,0.000457750,0.346159458,0.517094493,0.055339698,0.101470932,0.000900724,0.000174309,0.003960921,0.010746162,0.000608581,0.008152183,0.079531111,0.080658898,0.011953313,0.036569193,0.048057381,0.065831661,0.000001048,0.000002666
0.000001418,0.449375451,0.442227513,0.000304846,0.003162344,0.003873586,0.000640582,0.000000233,0.000000352,0.501037955,0.487405270,0.417391628,0.409648299,0.064135045,0.061788395,0.070025496,0.066800863,0.022697274,0.022700543,0.767704010,0.725718141,0.000943208,0.000222448,0.002200592,0.009581660,0.107501790,0.000058498,0.001584366,0.004628242,0.009068782,0.000607379,0.000530104,0.003213411,0.000475979,0.330360502,0.497099429,0.051574592,0.094637752,0.001010443,0.000172176,0.003542193,0.009784828,0.000564619,0.008321387,0.083915100,0.084968597,0.012149144,0.033300459,0.047931071,0.067801706,0.000001020,0.000002515
