_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000001104,0.020786870,0.013594145,0.043275654,0.050059646,0.056338884,0.000066902,0.000000147,0.000000243,0.146521211,0.150699854,0.185022444,0.193710163,0.011664374,0.281988889,0.312427789,0.007742837,0.056031544,0.051443946,0.401271194,0.422688186,0.005132899,0.003809849,0.000234710,0.001197198,0.071377218,0.000083503,0.015653878,0.016250316,0.007303334,0.000069885,0.000075698,0.003442706,0.002560933,0.004286335,0.004848266,0.093229115,0.055334639,0.001156022,0.000124062,0.013665323,0.034329634,0.000699501,0.003071946,0.017882457,0.016495360,0.002765191,0.001365380,0.002071930,0.002210535,0.000000303,0.000000644
0.000001940,0.023849528,0.016035475,0.034820899,0.043027464,0.045600068,0.000060760,0.000000201,0.000000341,0.173192129,0.191368952,0.190469399,0.195077971,0.014160205,0.272748172,0.302763492,0.007985856,0.058887515,0.056203492,0.402426064,0.420626014,0.004138588,0.002936825,0.000214802,0.001156440,0.043222439,0.000064864,0.010160106,0.025616521,0.004613976,0.000136057,0.000183501,0.003002901,0.001645788,0.002374911,0.003523714,0.173982859,0.053153973,0.001029385,0.000199534,0.011922457,0.024440557,0.001369560,0.005643916,0.043102819,0.029932138,0.003909851,0.004020293,0.002899959,0.002395316,0.000000521,0.000000998
0.000001782,0.027005954,0.018558770,0.040620476,0.040621564,0.040861119,0.000052835,0.000000198,0.000000288,0.173084199,0.190379634,0.212460130,0.213734239,0.013158265,0.289940983,0.313558996,0.008020462,0.054786138,0.051183499,0.402288973,0.419560373,0.004227135,0.003182791,0.000203737,0.000967009,0.023248581,0.000045602,0.007065273,0.016345663,0.003292766,0.000181195,0.000221583,0.002707826,0.001725928,0.001596635,0.002111905,0.120456561,0.037458133,0.002126826,0.000196990,0.007039888,0.012548376,0.001442533,0.005557939,0.118204951,0.076507509,0.008185207,0.006473660,0.002682809,0.002704952,0.000000583,0.000001006
0.000001875,0.027980307,0.017703846,0.031320348,0.038848042,0.041011561,0.000048453,0.000000174,0.000000275,0.180900782,0.216110274,0.198561803,0.202347696,0.014807750,0.303095847,0.347677231,0.005846072,0.059455574,0.055122331,0.447650611,0.430509031,0.003999738,0.002594387,0.000177764,0.000952381,0.024068853,0.000050187,0.008525209,0.018544918,0.003609545,0.000123906,0.000155927,0.002958073,0.002220442,0.001246861,0.001721757,0.117896430,0.036555976,0.002430561,0.000181055,0.006998803,0.015537242,0.001402788,0.005053483,0.120796390,0.079502933,0.006130836,0.005788652,0.002275922,0.002270350,0.000000563,0.000000821
0.000001526,0.026433775,0.014498143,0.036628116,0.042096399,0.049239229,0.000047629,0.000000170,0.000000273,0.158072367,0.195707381,0.237815410,0.239240289,0.015954150,0.284754753,0.324344158,0.006001547,0.045678094,0.041380264,0.378643662,0.375850976,0.004695271,0.003150749,0.000188696,0.000883910,0.022029962,0.000039804,0.005762151,0.014465999,0.004007490,0.000370147,0.000448726,0.001779015,0.002581419,0.001811219,0.002061877,0.120480210,0.060121685,0.000910469,0.000088551,0.008027821,0.014167697,0.001765074,0.005925059,0.080726989,0.063019946,0.009834123,0.007614156,0.003008442,0.003379786,0.000000586,0.000000880
0.000001295,0.018157398,0.011743218,0.050782360,0.054930445,0.059107382,0.000043774,0.000000168,0.000000294,0.139323294,0.140317529,0.200829059,0.205608651,0.012835132,0.314649373,0.357164115,0.005296466,0.053127617,0.049696982,0.370962292,0.383732587,0.005643849,0.004897680,0.000204645,0.000868194,0.023949478,0.000044681,0.006968664,0.023872213,0.004414950,0.000124652,0.000170508,0.002701684,0.002303983,0.001812050,0.002493992,0.126419917,0.048129056,0.001601037,0.000151886,0.007521084,0.012479141,0.001250440,0.004368023,0.042637054,0.032302890,0.004385637,0.004555417,0.002674722,0.002389889,0.000000647,0.000000747
0.000001464,0.032991804,0.015551356,0.033110395,0.040075719,0.056060240,0.000032599,0.000000119,0.000000297,0.160748690,0.181426257,0.240971491,0.249675766,0.013982329,0.295543522,0.329436004,0.006394928,0.044081122,0.035849605,0.366656363,0.295998752,0.005256525,0.003532114,0.000156000,0.000698358,0.013226106,0.000033796,0.006060070,0.014076857,0.002210690,0.000294765,0.000425091,0.001437578,0.003437333,0.000758420,0.000870269,0.107904941,0.045951355,0.001563436,0.000086175,0.006220638,0.009906498,0.001862525,0.003817616,0.053409375,0.043736819,0.008260567,0.012307270,0.001227123,0.001123648,0.000000694,0.000000738
0.000004774,0.045595404,0.024014454,0.024145495,0.031903699,0.042962924,0.000025921,0.000000160,0.000000539,0.160519734,0.174905926,0.256049097,0.265081942,0.015915889,0.281702101,0.310112774,0.008093328,0.045721132,0.036558893,0.405088872,0.326284438,0.005923158,0.004075474,0.000052416,0.000901944,0.009762948,0.000020322,0.007023341,0.020336026,0.004602943,0.000733100,0.001089962,0.000172199,0.003871033,0.000109186,0.000106120,0.341367364,0.216626391,0.000374758,0.000105469,0.034052771,0.028050160,0.034260798,0.003961796,0.150782228,0.126530871,0.010090164,0.030677602,0.000317897,0.000349731,0.000000404,0.000001278
0.000004252,0.039614499,0.024651501,0.021629270,0.039686423,0.040838052,0.000027183,0.000000164,0.000000556,0.159475639,0.178348958,0.265447766,0.267096579,0.017164629,0.281607538,0.311642975,0.007333508,0.043028101,0.037679400,0.409094691,0.382447660,0.005508368,0.004026662,0.000048645,0.001026830,0.012362842,0.000018627,0.007240961,0.014490255,0.005821213,0.001866009,0.002376287,0.000098821,0.004000050,0.000124007,0.000115216,0.384104341,0.318510771,0.000152047,0.000063105,0.049881279,0.041822344,0.036790524,0.003307891,0.124957412,0.115106560,0.018920656,0.032976177,0.000183432,0.000252074,0.000000308,0.000001288
0.000003524,0.017912839,0.011977728,0.034598388,0.060411975,0.059184626,0.000027056,0.000000156,0.000000570,0.158083439,0.191229135,0.202260509,0.209826857,0.020043969,0.255696148,0.290411502,0.007891104,0.058554523,0.052368719,0.384290129,0.349495977,0.005247176,0.003839946,0.000055006,0.001133651,0.012293101,0.000018548,0.006524575,0.020513618,0.006110722,0.001090806,0.001591863,0.000123158,0.003074699,0.000165743,0.000161827,0.405572236,0.294898331,0.000170220,0.000094562,0.044390824,0.041835789,0.027746307,0.002787323,0.094711013,0.081669793,0.010714107,0.030089000,0.000179704,0.000190071,0.000000437,0.000001178
0.000002477,0.018946348,0.013511362,0.025185460,0.060712371,0.057355907,0.000022470,0.000000123,0.000000516,0.145638257,0.187748760,0.235422328,0.244929597,0.017766576,0.279711306,0.322209835,0.006243344,0.049077626,0.041530211,0.378261805,0.337316573,0.005993395,0.003957412,0.000064442,0.000570939,0.009307163,0.000031251,0.004799971,0.022376752,0.004761694,0.000550466,0.000836657,0.000180199,0.001767366,0.000176982,0.000211235,0.337059170,0.186276928,0.000349848,0.000197783,0.023035925,0.026959533,0.014483305,0.002376808,0.075333975,0.068797834,0.007897915,0.030233147,0.000180701,0.000213804,0.000000575,0.000000902
0.000000974,0.016812172,0.009859144,0.056605365,0.067956090,0.071018070,0.000018460,0.000000108,0.000000437,0.133411393,0.139375210,0.215032011,0.218855828,0.029439708,0.192505807,0.207765147,0.011655363,0.055812363,0.046112116,0.356832206,0.282881439,0.006747401,0.005542474,0.000132914,0.000602123,0.005498732,0.000028237,0.002885489,0.010385350,0.001577080,0.000441619,0.000592978,0.000517104,0.000929366,0.000416522,0.000484306,0.123915404,0.042496476,0.001632659,0.000304621,0.004674212,0.008107799,0.002313929,0.001534862,0.074047908,0.061761834,0.021229483,0.039931554,0.000199878,0.000211951,0.000001050,0.000000695
0.000000949,0.011903093,0.007410997,0.061969560,0.060851172,0.067292243,0.000075479,0.000000197,0.000000395,0.147909939,0.165269345,0.217026472,0.230422378,0.031879753,0.171892568,0.191357642,0.012103345,0.048996221,0.045480456,0.365426213,0.368091613,0.004878588,0.004119813,0.000417962,0.001529006,0.079459436,0.000111164,0.010910480,0.026622603,0.003521500,0.000101507,0.000140070,0.004388376,0.001338735,0.009279421,0.014463512,0.099058658,0.036857814,0.000901288,0.000148809,0.008548205,0.037906401,0.000313996,0.002471283,0.023188317,0.018137803,0.003205049,0.004652393,0.002427812,0.001839483,0.000000678,0.000000940
0.000001094,0.013968347,0.011802510,0.055899408,0.062075391,0.062279426,0.000223028,0.000000210,0.000000689,0.132079706,0.118554212,0.189397514,0.208213687,0.013084533,0.314011723,0.353248507,0.005905984,0.057474133,0.054731295,0.372397155,0.391933978,0.006533601,0.006070038,0.001241387,0.001659353,0.189348593,0.000394028,0.008677721,0.125329971,0.013954069,0.000025068,0.000041952,0.004711678,0.001287456,0.090609558,0.179832801,0.184633091,0.078555554,0.000521190,0.000151573,0.007728290,0.064998306,0.000215241,0.001555419,0.033799920,0.024238277,0.000968141,0.004705281,0.012094072,0.006269858,0.000001130,0.000001715
0.000001102,0.014920550,0.013665373,0.034925442,0.061220758,0.057914954,0.000220074,0.000000211,0.000000651,0.125705212,0.117383979,0.179808110,0.192101538,0.016129889,0.266857684,0.301751435,0.007562808,0.062220570,0.060610503,0.366920203,0.412316114,0.006764946,0.006034460,0.001150137,0.001475384,0.187982529,0.000360359,0.007784535,0.064303696,0.010586261,0.000064478,0.000090848,0.003569139,0.001407875,0.087448426,0.150454596,0.183318079,0.100988872,0.000255255,0.000089358,0.008214967,0.069208391,0.000211428,0.001560643,0.048591319,0.039620738,0.002351278,0.006501469,0.009164416,0.006898796,0.000000865,0.000001714
