_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000832,0.356781751,0.409722596,0.000975174,0.002309934,0.001474684,0.000043617,0.000000126,0.000000132,0.266444832,0.203988329,0.268163323,0.252376497,0.010603715,0.103187449,0.251458645,0.057714965,0.039186206,0.041010186,0.325936407,0.390497267,0.004301438,0.003108902,0.000681884,0.000692279,0.000118049,0.000007300,0.000003994,0.198480383,0.114041053,0.000145797,0.000147451,0.003357165,0.004211982,0.006800542,0.009794479,0.132074833,0.105804667,0.012950847,0.000214856,0.001016087,0.000345059,0.025581788,0.138518199,0.123586990,0.070477411,0.001617248,0.000801807,0.198657960,0.216883987,0.000006284,0.000000935
0.000000900,0.328967184,0.386204243,0.001487255,0.002510193,0.001553467,0.000044460,0.000000133,0.000000128,0.239126876,0.200947255,0.237457588,0.232201725,0.015712196,0.080573902,0.201799154,0.068384804,0.044733576,0.045005314,0.345829517,0.374070108,0.004739994,0.003251851,0.000628087,0.000603238,0.000130422,0.000008925,0.000004254,0.199531123,0.150779426,0.000111581,0.000111155,0.003471033,0.003519931,0.007943114,0.010874796,0.142748639,0.128508151,0.011491737,0.000295326,0.001174041,0.000428893,0.030135596,0.153441057,0.109309949,0.069101758,0.001178511,0.000688206,0.235590264,0.276582628,0.000006164,0.000000924
0.000000928,0.331063002,0.379438162,0.001385344,0.002563046,0.001606535,0.000041769,0.000000135,0.000000142,0.251127511,0.205955118,0.216338187,0.213653833,0.014851323,0.087612569,0.201941103,0.062510483,0.049487796,0.050532375,0.346885651,0.363458037,0.004412034,0.003089582,0.000653366,0.000506731,0.000114003,0.000008887,0.000003720,0.198432803,0.107061706,0.000166541,0.000183023,0.003173152,0.003508588,0.007780698,0.011538692,0.135327891,0.114240021,0.010665042,0.000255017,0.001131295,0.000342557,0.031681631,0.157440320,0.101159602,0.062874310,0.001278201,0.001072551,0.247716814,0.264595509,0.000007221,0.000000982
0.000000973,0.328216940,0.384205252,0.001383324,0.002531488,0.001569980,0.000045238,0.000000129,0.000000129,0.248279110,0.203419209,0.238777325,0.232031867,0.013783212,0.098652966,0.210717082,0.056383844,0.045535702,0.046101674,0.358035356,0.386835635,0.004623701,0.003058818,0.000633873,0.000585217,0.000114719,0.000007728,0.000004061,0.187962025,0.114330307,0.000151333,0.000159425,0.003073561,0.003665702,0.006873936,0.009783728,0.133300737,0.114356592,0.011638737,0.000241583,0.001115319,0.000395827,0.030090269,0.138217464,0.157558843,0.096042931,0.001366524,0.000963559,0.237512350,0.259328157,0.000006337,0.000001002
0.000000866,0.346001297,0.397105008,0.001522605,0.002195268,0.001373076,0.000038887,0.000000157,0.000000141,0.257152855,0.206949994,0.251845092,0.247972593,0.015886849,0.073012225,0.206705853,0.077119961,0.041304208,0.042191863,0.341981262,0.374156266,0.004399774,0.003158646,0.000645595,0.000526972,0.000105869,0.000008055,0.000003498,0.166064739,0.099742971,0.000215129,0.000220968,0.003573554,0.002594574,0.007966598,0.011542249,0.133878589,0.103124589,0.012974628,0.000366564,0.001100767,0.000284711,0.034344193,0.167613059,0.094778940,0.057157073,0.001646102,0.001030804,0.270727724,0.291920036,0.000007390,0.000001038
0.000000983,0.374977559,0.406571656,0.001294137,0.001881202,0.001294575,0.000048901,0.000000144,0.000000147,0.284700394,0.235029325,0.267860353,0.265434086,0.014156604,0.108920373,0.203378394,0.053313382,0.040527079,0.041038588,0.365020305,0.384098619,0.004004081,0.002537430,0.000763140,0.000575408,0.000109070,0.000006561,0.000003561,0.130713537,0.079109095,0.000466461,0.000479922,0.002757288,0.004881203,0.009607951,0.013328658,0.125580564,0.124133781,0.008185989,0.000128602,0.001256266,0.000323954,0.033452254,0.158961192,0.142714649,0.091375224,0.002660643,0.001885167,0.291755408,0.313429773,0.000006987,0.000001144
0.000001030,0.346207619,0.392813146,0.001024642,0.002945072,0.001443925,0.000050813,0.000000180,0.000000174,0.291197181,0.251638710,0.278956264,0.269114763,0.009053976,0.121613398,0.262298733,0.050095882,0.037288491,0.038221769,0.322017819,0.376663685,0.003781270,0.002394866,0.000826352,0.000433547,0.000120483,0.000010632,0.000003541,0.106443256,0.078755468,0.000606294,0.000642775,0.002745723,0.001766835,0.012323400,0.018729655,0.125527799,0.128739327,0.006797962,0.000369374,0.001442990,0.000347173,0.038955528,0.190887198,0.092951328,0.066956952,0.002238386,0.002200419,0.333719403,0.374229312,0.000008418,0.000001362
0.000000869,0.385464936,0.419614792,0.000721415,0.002408125,0.001445958,0.000061746,0.000000136,0.000000165,0.294302195,0.255332261,0.315010607,0.314961970,0.009958119,0.132966325,0.233095989,0.044473510,0.033140432,0.030053765,0.384574175,0.329166144,0.004094085,0.002190163,0.001030114,0.000483097,0.000144516,0.000010919,0.000003632,0.095890090,0.088251516,0.000428256,0.000460981,0.002909618,0.001440126,0.017862301,0.025243942,0.116342075,0.145172417,0.005847701,0.000411144,0.001251555,0.000458346,0.021520933,0.146919787,0.109434605,0.089396164,0.002049877,0.002821242,0.253056794,0.308362186,0.000008279,0.000001348
0.000000825,0.430670351,0.463259578,0.000877270,0.001698480,0.001011629,0.000061856,0.000000173,0.000000150,0.300297469,0.240951598,0.307888836,0.305242658,0.010138357,0.088691153,0.260620981,0.070720047,0.031933855,0.029943490,0.360744298,0.337831616,0.003914511,0.002411362,0.001011693,0.000516378,0.000156667,0.000010778,0.000004046,0.082265481,0.103705496,0.000515075,0.000478912,0.003395828,0.001638308,0.017815391,0.023173865,0.110772200,0.138215795,0.006966104,0.000377328,0.001320082,0.000405797,0.023511045,0.155783787,0.104129136,0.082957536,0.002774969,0.001836071,0.268182874,0.340819389,0.000006981,0.000001384
0.000000666,0.472466171,0.469305485,0.000844021,0.001585652,0.001323368,0.000055887,0.000000157,0.000000140,0.325944066,0.252941787,0.337663144,0.348396450,0.006853848,0.100028016,0.320123017,0.066050038,0.027736891,0.023185778,0.425422430,0.297292739,0.003662031,0.002126843,0.001115966,0.000689280,0.000125595,0.000007871,0.000003054,0.072519608,0.078241058,0.000416016,0.000392247,0.005151588,0.002169369,0.018763801,0.024533171,0.081118546,0.098070480,0.013011515,0.000292483,0.000864295,0.000254936,0.018525479,0.164595574,0.087420113,0.066835605,0.002563891,0.001782167,0.287111223,0.338698238,0.000008404,0.000001343
