_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003721,0.359723657,0.365707964,0.000616516,0.005067287,0.003000866,0.000185780,0.000000383,0.000000644,0.118004054,0.096317396,0.195300654,0.177356735,0.000814477,0.818096578,0.793355107,0.000814286,0.045852255,0.050801229,0.272279292,0.496387184,0.005240097,0.004696176,0.000825355,0.001659906,0.140500158,0.000293059,0.009576865,0.032974090,0.011755686,0.000102928,0.000140987,0.009693200,0.000452164,0.012812339,0.027973957,0.078526221,0.045443002,0.002677546,0.000829992,0.005854833,0.016222183,0.000833098,0.017980121,0.057390898,0.048261575,0.002500559,0.006255385,0.012562009,0.020746998,0.000000756,0.000002080
0.000005123,0.305308610,0.322951794,0.000812625,0.007699788,0.003963285,0.000184130,0.000000538,0.000000884,0.079290584,0.077152871,0.167744741,0.148098171,0.000646148,0.854760766,0.834540844,0.000521401,0.050916880,0.058983251,0.207516044,0.516666770,0.007525856,0.006814992,0.000785537,0.001244539,0.119502753,0.000372044,0.008118179,0.039582044,0.011528466,0.000152961,0.000226165,0.008088445,0.000382492,0.012314669,0.027832601,0.098965779,0.055103723,0.002249848,0.001014683,0.008170132,0.017702105,0.001238969,0.024065336,0.063431732,0.053404015,0.002606537,0.009061594,0.013489357,0.020858653,0.000000955,0.000002703
0.000003978,0.265311748,0.287982047,0.001083678,0.009165814,0.004894170,0.000171763,0.000000325,0.000000689,0.103301086,0.099243984,0.175493866,0.160996020,0.000562427,0.849061728,0.827573240,0.000641656,0.048150785,0.052582834,0.236378014,0.479035258,0.006284033,0.004318099,0.000766887,0.002184437,0.141742870,0.000271489,0.009713796,0.044559453,0.014143037,0.000056300,0.000083431,0.010351491,0.000852682,0.011598512,0.024464266,0.084462352,0.056882918,0.002811499,0.000562637,0.006651001,0.021284223,0.000871064,0.018868301,0.029532757,0.027643161,0.001156917,0.004200900,0.009758893,0.015342908,0.000000888,0.000001994
0.000002396,0.353477210,0.310131460,0.000417071,0.003019082,0.002824644,0.000160425,0.000000170,0.000000398,0.277031451,0.237138033,0.311862737,0.303711712,0.002293559,0.674671829,0.668242931,0.001741132,0.031137368,0.031917680,0.442707896,0.517801881,0.001904484,0.001327679,0.000694048,0.002209718,0.173825994,0.000257574,0.017713815,0.044770196,0.020257551,0.000050913,0.000071107,0.005611604,0.000519766,0.008393523,0.021008899,0.086896777,0.054897644,0.001546409,0.000604095,0.006313215,0.031169899,0.000641213,0.007199321,0.033938911,0.033754811,0.001145613,0.004879454,0.005514975,0.007761003,0.000000430,0.000001090
0.000002095,0.575111508,0.559967518,0.000144225,0.001096282,0.001583457,0.000176764,0.000000191,0.000000265,0.604560912,0.491840690,0.616509557,0.649880409,0.017559048,0.234163851,0.254142851,0.012045764,0.007193716,0.008608243,0.634356380,0.665796280,0.000466548,0.000231735,0.000513418,0.004585409,0.191391379,0.000157801,0.011200047,0.017335823,0.024901863,0.000156565,0.000152535,0.004848188,0.000554505,0.015305500,0.032691885,0.080705300,0.069447435,0.001673495,0.000508286,0.007946530,0.020596607,0.001333743,0.012414112,0.024306176,0.024080642,0.001836350,0.003326558,0.010709887,0.018519333,0.000000351,0.000000994
0.000001943,0.581106603,0.559974909,0.000178573,0.000954914,0.001466484,0.000144404,0.000000230,0.000000252,0.627674580,0.486531526,0.626191735,0.663980365,0.020801432,0.223085895,0.244544193,0.012129805,0.006606602,0.008833015,0.632624984,0.704604447,0.000412637,0.000243882,0.000498801,0.005490862,0.177045643,0.000114984,0.012346795,0.012101315,0.020977747,0.000206264,0.000197148,0.005539649,0.000654871,0.012098192,0.024778886,0.058476567,0.056733556,0.002193761,0.000410919,0.006653199,0.015464830,0.001151918,0.012783987,0.027537381,0.028008286,0.002376232,0.004336250,0.009396505,0.016687324,0.000000333,0.000001010
0.000002082,0.565769851,0.519016743,0.000121118,0.000750913,0.001284061,0.000150512,0.000000198,0.000000274,0.470471084,0.330736548,0.428158402,0.459095240,0.014892002,0.289594710,0.308777690,0.008510618,0.016429804,0.021125443,0.626552224,0.640205145,0.000678693,0.000593807,0.000532278,0.004169737,0.173692763,0.000139865,0.013510688,0.015864057,0.019008217,0.000278097,0.000281276,0.003621519,0.000682699,0.010887924,0.023874030,0.081926800,0.068126917,0.000965858,0.000252442,0.009126336,0.027643271,0.001248523,0.009917059,0.025369547,0.024426293,0.002518497,0.004259642,0.005183442,0.008888711,0.000000252,0.000000982
0.000001579,0.491118222,0.396608859,0.000238281,0.001095845,0.002093815,0.000077317,0.000000182,0.000000187,0.294141889,0.252209216,0.294804841,0.293887258,0.021061525,0.201519653,0.210091993,0.017534109,0.037649810,0.036860242,0.592136383,0.576025486,0.001411168,0.001134788,0.000465817,0.001444890,0.059778269,0.000118690,0.011615507,0.005582066,0.009103076,0.000254783,0.000289260,0.004094238,0.000515672,0.004191783,0.006009318,0.034753710,0.051050175,0.002631588,0.000388470,0.004887704,0.010615809,0.000696770,0.006290534,0.036649778,0.053813100,0.004472265,0.015723709,0.000949376,0.002153018,0.000000249,0.000000815
0.000001562,0.377345979,0.314190894,0.000429190,0.002338943,0.004270643,0.000013312,0.000000045,0.000000171,0.277680546,0.186830655,0.231425956,0.215097681,0.024258019,0.167264700,0.166008428,0.026756849,0.049810458,0.053042095,0.528765082,0.566459656,0.001752150,0.001774914,0.000068338,0.000898723,0.007554052,0.000047025,0.006177727,0.059161711,0.013424743,0.000013977,0.000027221,0.000743290,0.002700926,0.000087469,0.000116931,0.113625474,0.064616263,0.007598351,0.000487959,0.006403435,0.010098141,0.008979910,0.002689409,0.011682739,0.012287614,0.000617539,0.004879859,0.000056046,0.000069224,0.000000232,0.000000263
0.000002940,0.409405798,0.423636109,0.000344740,0.002898525,0.002496993,0.000019313,0.000000056,0.000000222,0.288203478,0.222077951,0.226055309,0.211070120,0.024566533,0.136609212,0.148957595,0.037979860,0.046544231,0.050129578,0.413620800,0.517877042,0.001708260,0.001268076,0.000053326,0.000710869,0.009529450,0.000056211,0.005945368,0.052977223,0.028995452,0.000038281,0.000072114,0.000317029,0.001895302,0.000102863,0.000111133,0.203336373,0.232322872,0.001745245,0.000533958,0.023350624,0.019628149,0.024028534,0.004838802,0.015351613,0.022768125,0.000607599,0.007540815,0.000046052,0.000085934,0.000000178,0.000000426
0.000002053,0.396649361,0.400159508,0.000340396,0.003284106,0.003264588,0.000016218,0.000000047,0.000000177,0.251742363,0.205085978,0.193486601,0.180767462,0.018696142,0.165327519,0.185524836,0.034199681,0.058170754,0.060861293,0.411702633,0.545318007,0.001975329,0.001430589,0.000060131,0.000543363,0.004775064,0.000039754,0.003362648,0.049035765,0.014098593,0.000044119,0.000071351,0.000393020,0.003018624,0.000075109,0.000092561,0.163341030,0.108297929,0.003609256,0.000337687,0.009123051,0.006215619,0.018792821,0.004414353,0.028574513,0.030958153,0.001505124,0.006773785,0.000063875,0.000107878,0.000000216,0.000000325
0.000001819,0.456383705,0.479139626,0.000166339,0.001798333,0.001973450,0.000013654,0.000000032,0.000000134,0.236666188,0.188277990,0.140535012,0.133626208,0.015795134,0.198447421,0.201235935,0.025959099,0.077823184,0.087060690,0.478404433,0.537055969,0.002003312,0.001642178,0.000037397,0.000975648,0.007854019,0.000051178,0.004675323,0.074952193,0.030153463,0.000015528,0.000023208,0.000391270,0.003204549,0.000056800,0.000062885,0.186582461,0.102539167,0.004061152,0.000530631,0.015483581,0.023570668,0.028102009,0.004145153,0.006396538,0.005792628,0.000508669,0.000957430,0.000034344,0.000052085,0.000000146,0.000000190
0.000002662,0.389611244,0.374343336,0.000274778,0.002741794,0.003710958,0.000014129,0.000000062,0.000000186,0.194338992,0.182857215,0.125327349,0.122129366,0.015968740,0.211690351,0.209489927,0.022209439,0.090920806,0.089237764,0.474273533,0.514328420,0.002641382,0.001613065,0.000049385,0.000560687,0.003706732,0.000031800,0.002882038,0.029336976,0.007880371,0.000179522,0.000279861,0.000346098,0.001830161,0.000056462,0.000069333,0.162902564,0.079813197,0.003362835,0.000449577,0.008929958,0.003659328,0.036957849,0.006594480,0.025391016,0.022954695,0.002896890,0.007535449,0.000083134,0.000128306,0.000000311,0.000000349
0.000001949,0.448919535,0.438428551,0.000193928,0.002130253,0.002750495,0.000022088,0.000000050,0.000000142,0.268319458,0.253862292,0.154319882,0.154908285,0.010900312,0.255437791,0.253876120,0.021792674,0.077887416,0.074147150,0.537612915,0.546340525,0.001761054,0.001015854,0.000080153,0.000802127,0.007114022,0.000041309,0.005413766,0.018276872,0.011923335,0.000109914,0.000135700,0.000475791,0.001636590,0.000116809,0.000130808,0.125385210,0.082148939,0.003010221,0.000460494,0.007783659,0.007203084,0.011565568,0.003975622,0.026847107,0.026544122,0.003384285,0.004613733,0.000050623,0.000096833,0.000000208,0.000000327
0.000001769,0.531681001,0.488661855,0.000082132,0.001239784,0.001962931,0.000072383,0.000000126,0.000000186,0.441086948,0.408504248,0.453033864,0.454239219,0.008727272,0.396359235,0.417280287,0.005315326,0.019850211,0.017986258,0.714519858,0.658532023,0.000922639,0.000360353,0.000390475,0.001416915,0.039788906,0.000110075,0.008711462,0.013662822,0.010482077,0.000307718,0.000365987,0.003478563,0.000994622,0.002466504,0.005030184,0.041936368,0.038654394,0.003988315,0.000248943,0.005213808,0.008745441,0.001091997,0.007632156,0.019447748,0.021132970,0.002775892,0.008151478,0.000870027,0.001487310,0.000000332,0.000000633
0.000001100,0.480769128,0.458334833,0.000243630,0.002646109,0.003512316,0.000032182,0.000000079,0.000000140,0.691559196,0.603360474,0.717019677,0.723455429,0.029577924,0.175260127,0.184007868,0.017786661,0.005228673,0.004854118,0.737261474,0.687352180,0.000452770,0.000129973,0.000159596,0.002541938,0.018693231,0.000065386,0.004268243,0.009768643,0.004531629,0.000082008,0.000113557,0.004054927,0.003841599,0.001027560,0.001916346,0.018552661,0.016213167,0.031163130,0.000210019,0.004386337,0.007372637,0.001807822,0.009097043,0.002730418,0.002567684,0.000730280,0.003806233,0.000568053,0.000674360,0.000000627,0.000000414
0.000001353,0.391143471,0.378480673,0.000288914,0.004432123,0.003666895,0.000069527,0.000000135,0.000000203,0.647216201,0.582033098,0.711484671,0.722620130,0.009119073,0.416683286,0.441987425,0.003703713,0.005087761,0.004458766,0.516536057,0.617486477,0.000552892,0.000137023,0.000410207,0.002634262,0.041065011,0.000078177,0.005582402,0.011438478,0.007576023,0.000205962,0.000241333,0.005583583,0.000963162,0.004716699,0.009073981,0.045487650,0.036349412,0.006710921,0.000407619,0.003590384,0.006114335,0.001001960,0.010537789,0.019769179,0.017486652,0.002723807,0.007171325,0.003116217,0.004591538,0.000000878,0.000000704
0.000001458,0.416543335,0.415632874,0.000478713,0.003163883,0.002398715,0.000086274,0.000000154,0.000000243,0.607270122,0.557753742,0.689880729,0.698745370,0.007687775,0.435654968,0.446170270,0.004355001,0.006378120,0.005920539,0.515298724,0.645928025,0.000745595,0.000157666,0.000651785,0.003134739,0.063049838,0.000116678,0.004755524,0.012588812,0.003454687,0.000176950,0.000243045,0.015035883,0.001494493,0.008526752,0.018848781,0.029360522,0.019064071,0.008258860,0.000170246,0.002069552,0.007091125,0.000387966,0.011294208,0.024583552,0.020864332,0.003007974,0.013746450,0.005970250,0.007463653,0.000000985,0.000001063
0.000001583,0.388855070,0.381268144,0.000199602,0.003649384,0.002596606,0.000113577,0.000000206,0.000000256,0.617592454,0.538504064,0.718732893,0.737073302,0.018587947,0.311213374,0.340150207,0.005109629,0.005037479,0.004733412,0.617310226,0.654996872,0.000628921,0.000171286,0.000681915,0.002538383,0.123629585,0.000262250,0.008324713,0.015005139,0.008079429,0.000166164,0.000224172,0.008842242,0.000585650,0.013649725,0.031931929,0.042258624,0.032572728,0.002856799,0.000470780,0.003399075,0.017717600,0.000491769,0.009636432,0.019175971,0.017264768,0.001803166,0.009598251,0.007778203,0.009284692,0.000000897,0.000001123
