_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000772,0.030206127,0.034306239,0.071501344,0.036159962,0.028495170,0.000020270,0.000000068,0.000000111,0.081936896,0.057669684,0.035907235,0.033153363,0.032877099,0.105023243,0.107905395,0.032893207,0.212882325,0.212675169,0.467607498,0.335831583,0.007477484,0.004955702,0.000175071,0.001992890,0.008436567,0.000020037,0.001971254,0.013120072,0.007008296,0.000017243,0.000021645,0.003338548,0.005221280,0.001236669,0.001319919,0.067125134,0.058632728,0.005640408,0.000218062,0.002776278,0.008206790,0.001123168,0.003618897,0.003712988,0.003962195,0.000656944,0.001126852,0.000094602,0.000132130,0.000000823,0.000000339
0.000001495,0.031491511,0.055028863,0.012108745,0.065894268,0.028770832,0.000135101,0.000000153,0.000000265,0.723867416,0.674587011,0.666674376,0.637694597,0.062099509,0.140594721,0.091890141,0.021468738,0.009377959,0.005582694,0.700531006,0.651280522,0.000658832,0.000066207,0.000661847,0.004503932,0.158966929,0.000210865,0.009977206,0.011351645,0.017810028,0.000044439,0.000054592,0.008622543,0.002675163,0.030974319,0.051334228,0.062844701,0.134690225,0.002388321,0.000170895,0.007936796,0.045211218,0.000430056,0.004337945,0.005477240,0.007762501,0.000641530,0.005388712,0.001385702,0.002283358,0.000001141,0.000001065
0.000001071,0.013101291,0.021287313,0.032651186,0.122032076,0.056111597,0.000200867,0.000000201,0.000000231,0.758813560,0.726869702,0.770279706,0.749059618,0.075550899,0.119048849,0.076316357,0.030427406,0.005011447,0.002814149,0.710764706,0.595775485,0.000596229,0.000056107,0.000806659,0.010098459,0.223797828,0.000234423,0.006227247,0.012286253,0.041429009,0.000020093,0.000019417,0.019804312,0.003411820,0.079763584,0.099735819,0.050983708,0.137497261,0.003845505,0.000244243,0.006122270,0.041918736,0.000502261,0.008318768,0.005045460,0.007348796,0.000528785,0.001316720,0.007247704,0.015669538,0.000001783,0.000001021
0.000000702,0.013697650,0.018035900,0.051747207,0.108262718,0.068716958,0.000174715,0.000000159,0.000000178,0.714349866,0.725690246,0.759986281,0.743614316,0.083618708,0.111519873,0.070968419,0.033724420,0.005875763,0.002978708,0.694222271,0.646923244,0.000758809,0.000052640,0.000605951,0.009417277,0.374526799,0.000699126,0.006135304,0.011448726,0.049925338,0.000014786,0.000018062,0.017388931,0.004039838,0.118764341,0.132320404,0.023266982,0.137543038,0.006614702,0.000150915,0.006757206,0.032258544,0.000471730,0.003986753,0.001737759,0.003564937,0.000182036,0.001438594,0.002725703,0.005537948,0.000001486,0.000000822
0.000000725,0.013037137,0.019566322,0.049787331,0.106959954,0.063118592,0.000165172,0.000000168,0.000000187,0.722440302,0.725677133,0.773285568,0.755242407,0.068567395,0.115493201,0.088804148,0.029847778,0.005206293,0.002776736,0.663536787,0.615986466,0.000737489,0.000054738,0.000540848,0.008980335,0.381353796,0.000814745,0.005746538,0.014347519,0.046439055,0.000012704,0.000016733,0.019072134,0.005352382,0.102686837,0.116300903,0.023035783,0.130301759,0.007701800,0.000130177,0.007243290,0.037475403,0.000545393,0.005331768,0.001471358,0.002895254,0.000142837,0.001315028,0.003005242,0.005672324,0.000001625,0.000000834
0.000000500,0.010821306,0.013154556,0.050531678,0.131620586,0.070077062,0.000112170,0.000000162,0.000000119,0.682099819,0.698505998,0.770034134,0.757897019,0.088861637,0.084463753,0.065744750,0.051240429,0.005336737,0.002909333,0.654533744,0.591657996,0.000875787,0.000062874,0.000361591,0.016814316,0.417884856,0.000615126,0.004625551,0.008441116,0.060285766,0.000009540,0.000010585,0.052252401,0.005017981,0.084350996,0.067598693,0.006645363,0.066389777,0.033395678,0.000203886,0.005506646,0.025368605,0.000560927,0.008355971,0.000578380,0.001325545,0.000094954,0.000428228,0.004168550,0.012065385,0.000001390,0.000000571
0.000000210,0.008049478,0.006313093,0.111285031,0.105024256,0.072860725,0.000063592,0.000000093,0.000000069,0.444571733,0.527733684,0.685034335,0.683053732,0.055841252,0.114701994,0.110005520,0.033736363,0.008029860,0.004482120,0.432525396,0.410967171,0.002021513,0.000196744,0.000195910,0.017344590,0.417384475,0.000910694,0.003513763,0.010595773,0.078870364,0.000001292,0.000001373,0.080154873,0.005548330,0.058082554,0.035926767,0.003106352,0.026581690,0.151768759,0.000351731,0.007592295,0.070319355,0.000452877,0.007070725,0.000085930,0.000151871,0.000029225,0.000050492,0.001525772,0.005261292,0.000001009,0.000000184
0.000000171,0.000832001,0.000889841,0.416790247,0.242386460,0.109181553,0.000034429,0.000000152,0.000000093,0.291740954,0.314943433,0.561634898,0.547472239,0.059577886,0.147463813,0.129952416,0.022563772,0.014509232,0.008818033,0.365589231,0.377342105,0.004309879,0.000918076,0.000120290,0.014811470,0.322716415,0.001275014,0.006378313,0.023009364,0.075182863,0.000000324,0.000000376,0.109161250,0.003979222,0.019361271,0.014550532,0.003163734,0.012771746,0.495369703,0.001389597,0.021060215,0.123282082,0.000915009,0.005214009,0.000020832,0.000026261,0.000011841,0.000017583,0.000500389,0.001279863,0.000000810,0.000000073
0.000000083,0.000667425,0.000754199,0.533147693,0.311041594,0.102404848,0.000029042,0.000000107,0.000000076,0.216161668,0.270132154,0.504247487,0.488724530,0.091364980,0.102472812,0.079358384,0.049720731,0.022235122,0.012803959,0.351682305,0.399738014,0.007574219,0.001997698,0.000146640,0.007877477,0.253621370,0.003813680,0.008277733,0.026709013,0.143682837,0.000000032,0.000000032,0.231268495,0.003691718,0.020899130,0.013914732,0.000962043,0.004025620,0.912375152,0.004380562,0.028681222,0.370181412,0.000208748,0.000826461,0.000002294,0.000002682,0.000003221,0.000002586,0.000058892,0.000135250,0.000000579,0.000000029
0.000000123,0.000569541,0.000554203,0.550841928,0.339262575,0.136190966,0.000032436,0.000000138,0.000000104,0.226457253,0.260782421,0.528041124,0.511377931,0.070664138,0.117681175,0.103551924,0.042095669,0.020545578,0.012171586,0.387370825,0.402485520,0.007632803,0.002191935,0.000133923,0.010315732,0.256691337,0.003878698,0.009147049,0.047431428,0.121800251,0.000000025,0.000000030,0.183090180,0.003456551,0.014810532,0.012776231,0.001590203,0.003945433,0.919164896,0.007162266,0.040839881,0.459668994,0.000368820,0.001236848,0.000001793,0.000001694,0.000002120,0.000002732,0.000068667,0.000103048,0.000000787,0.000000039
