_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000003614,0.110229336,0.170232743,0.038726214,0.005332765,0.003046398,0.000046306,0.000000359,0.000000242,0.490696132,0.322019994,0.528518200,0.477400422,0.097463667,0.043614075,0.053078212,0.090930484,0.012295522,0.011245437,0.514193714,0.354062349,0.000856712,0.000758086,0.000037266,0.002228810,0.045870993,0.000072517,0.010130316,0.013694094,0.105940312,0.000144364,0.000153461,0.000570437,0.002208670,0.000980362,0.000424509,0.063877806,0.252224922,0.002381942,0.000656416,0.217545137,0.068750001,0.093653500,0.049787384,0.001391736,0.002620258,0.000295494,0.001015656,0.000746768,0.001683992,0.000000205,0.000000819
0.000002843,0.115815178,0.241460100,0.035604369,0.006281577,0.002784311,0.000019120,0.000000217,0.000000119,0.314243227,0.328815281,0.467146546,0.415307909,0.011254697,0.223320588,0.228841901,0.023804108,0.018980118,0.011364158,0.419976175,0.304553211,0.001890314,0.000771353,0.000011081,0.001066520,0.033341367,0.000103374,0.009180342,0.001209071,0.096807532,0.000271880,0.000239510,0.000276688,0.000783424,0.000219160,0.000043086,0.016343178,0.193409517,0.005631119,0.003926190,0.150448427,0.063259602,0.283912867,0.062558979,0.000335689,0.000954329,0.000298830,0.000865523,0.000219480,0.001133389,0.000000187,0.000000527
0.000003095,0.185582057,0.305552870,0.028063551,0.003054532,0.001910502,0.000026832,0.000000341,0.000000137,0.336928129,0.319701910,0.504868984,0.448373556,0.015358374,0.175960183,0.188038394,0.029663954,0.015433345,0.010445892,0.468808174,0.306179553,0.001609969,0.000807973,0.000029088,0.000800850,0.022940161,0.000104021,0.004836880,0.001676996,0.076029599,0.000440552,0.000374611,0.000667831,0.000478238,0.000506004,0.000175252,0.020456614,0.170171008,0.005041823,0.004842270,0.076982781,0.016316408,0.135934249,0.103744008,0.001103872,0.003440983,0.000398380,0.001380313,0.001266949,0.005456034,0.000000318,0.000000788
0.000002786,0.254928529,0.405628681,0.022176877,0.001979567,0.001354192,0.000017851,0.000000194,0.000000108,0.283030391,0.303010613,0.514593720,0.442054987,0.007489384,0.284058452,0.271672845,0.020119451,0.015104652,0.008938681,0.390127271,0.247774869,0.002147323,0.000933735,0.000015672,0.000873840,0.011618939,0.000058340,0.003647638,0.001770069,0.173632711,0.000403762,0.000278241,0.000263109,0.000475125,0.000141226,0.000026220,0.025026884,0.208600402,0.003840272,0.007497218,0.048154522,0.011652034,0.333538800,0.089991450,0.002342071,0.007545834,0.000971883,0.001144918,0.000541110,0.002960579,0.000000259,0.000000530
0.000002877,0.189510584,0.308898926,0.051194802,0.002842172,0.002211871,0.000013728,0.000000228,0.000000124,0.281695008,0.307189971,0.531669796,0.456684440,0.009579836,0.224873871,0.238460764,0.026752949,0.013600887,0.007397039,0.309458494,0.179150969,0.002139194,0.001107165,0.000009728,0.000878421,0.011960079,0.000080435,0.004248287,0.002597597,0.222907990,0.000165990,0.000133775,0.000314103,0.000391902,0.000093422,0.000013637,0.022205720,0.201147988,0.007323718,0.019451650,0.047431175,0.012620836,0.504061937,0.130145356,0.001660168,0.005901257,0.000538523,0.001097670,0.000596271,0.002755715,0.000000316,0.000000516
0.000003327,0.374444366,0.521160305,0.003861008,0.001949789,0.001582897,0.000020995,0.000000120,0.000000164,0.261524677,0.350159824,0.363747209,0.494532913,0.006835198,0.215261444,0.296680152,0.027811971,0.028347205,0.005563107,0.454311579,0.139300749,0.002389106,0.000670098,0.000011282,0.000756595,0.021591207,0.000168881,0.009390216,0.006668473,0.223221317,0.000043944,0.000040424,0.000410226,0.000371838,0.000093484,0.000018146,0.040068742,0.184336841,0.009415112,0.022697808,0.076377302,0.025424531,0.407138228,0.059070330,0.001338117,0.003971417,0.000275706,0.000698569,0.000318366,0.001219410,0.000000208,0.000000394
0.000001059,0.112927899,0.219620749,0.016293386,0.009127693,0.005549251,0.000008875,0.000000104,0.000000047,0.174515143,0.239060700,0.332353652,0.309731632,0.014151456,0.190294683,0.201423630,0.029031819,0.031764500,0.018545769,0.369386792,0.243150428,0.003996579,0.001751652,0.000008990,0.000596433,0.012382642,0.000124517,0.005376295,0.000960567,0.224760368,0.000063965,0.000047694,0.000406433,0.000764581,0.000116683,0.000015347,0.005691882,0.152420282,0.026921159,0.007639137,0.037438128,0.014082609,0.237461135,0.030915396,0.000213926,0.000975289,0.000150503,0.000331238,0.000127900,0.000878476,0.000000196,0.000000183
0.000001304,0.065777555,0.135992706,0.029788706,0.014233735,0.006686637,0.000014501,0.000000211,0.000000071,0.192209691,0.164754584,0.361410886,0.345803499,0.018908894,0.155133277,0.177662745,0.035000592,0.029907556,0.016139632,0.497351974,0.233202398,0.004788289,0.002681854,0.000014307,0.000824875,0.045646116,0.000351400,0.015608978,0.000540962,0.110333756,0.000032167,0.000028458,0.001430642,0.001124469,0.000472686,0.000079789,0.002898534,0.104451343,0.084524617,0.006439020,0.137595236,0.087271415,0.082695469,0.029599618,0.000018464,0.000079416,0.000028801,0.000145285,0.000115428,0.000739581,0.000000206,0.000000275
0.000002834,0.130260378,0.206738338,0.027963737,0.008162330,0.006209802,0.000012238,0.000000139,0.000000148,0.183659554,0.352857292,0.392351717,0.526477098,0.008426819,0.199158400,0.277376980,0.028734028,0.028291533,0.005438783,0.340775341,0.154876843,0.003855937,0.001046945,0.000004289,0.000427041,0.023682661,0.000360572,0.008061153,0.009835738,0.137808070,0.000017798,0.000023898,0.000375209,0.000408176,0.000039590,0.000008141,0.026136564,0.107845411,0.016985858,0.033278067,0.103885271,0.065456778,0.611057699,0.098115593,0.000405182,0.001053477,0.000092943,0.000557386,0.000303371,0.000957945,0.000000227,0.000000338
0.000003263,0.157603204,0.155737996,0.023261506,0.004888745,0.005521339,0.000027273,0.000000267,0.000000152,0.205283523,0.248113602,0.489558458,0.443742216,0.007374962,0.281303555,0.291167021,0.020004146,0.019119466,0.008805900,0.392205387,0.249782279,0.003764582,0.001577011,0.000024568,0.000716224,0.041457001,0.000290555,0.016625047,0.005347445,0.096086927,0.000032064,0.000038262,0.001433119,0.000337163,0.000318991,0.000111675,0.020408889,0.096878834,0.022307163,0.022334879,0.114306793,0.050567068,0.094551563,0.064638138,0.000303081,0.000945402,0.000072715,0.000489924,0.000443704,0.001600431,0.000000266,0.000000573
0.000004548,0.100401387,0.121358246,0.051620804,0.009216468,0.008554564,0.000020481,0.000000273,0.000000260,0.252804667,0.223157421,0.582938433,0.544791818,0.012458719,0.245456949,0.248972028,0.020062806,0.009083466,0.006697839,0.282081157,0.244359702,0.002612777,0.002181282,0.000006433,0.001395220,0.058414422,0.000271451,0.017066451,0.068337053,0.229465976,0.000002879,0.000005397,0.000855378,0.000816138,0.000069428,0.000023892,0.037821338,0.078976363,0.026260054,0.023990490,0.246577799,0.261038184,0.446883649,0.120624170,0.000248624,0.000405771,0.000022963,0.000214181,0.000636294,0.000786172,0.000000203,0.000000462
0.000005317,0.044701844,0.053695206,0.094856888,0.013319707,0.012468427,0.000020999,0.000000258,0.000000318,0.258185685,0.210913986,0.530634105,0.469584405,0.013350134,0.265284449,0.272143811,0.015562478,0.014874141,0.009831782,0.324237108,0.196719155,0.003398747,0.002492923,0.000006636,0.000912899,0.062400896,0.000346748,0.021925461,0.095043488,0.246714905,0.000002707,0.000006301,0.000592529,0.001113217,0.000062104,0.000018742,0.054271493,0.158100441,0.012330674,0.014182002,0.314871669,0.358686477,0.462408602,0.078826442,0.000478089,0.001016769,0.000023008,0.000490413,0.000409508,0.000511615,0.000000190,0.000000439
