_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000634,0.226229206,0.217911020,0.000700418,0.016333638,0.012884944,0.000052968,0.000000097,0.000000192,0.088362791,0.062035292,0.060235444,0.078463010,0.018446840,0.083391123,0.155815899,0.046477262,0.109367654,0.096291251,0.506868720,0.274502456,0.007708424,0.004971172,0.000164585,0.009955333,0.198580503,0.000269233,0.010260648,0.002654721,0.016298885,0.000002311,0.000002411,0.021706723,0.000860126,0.014890814,0.012204200,0.007993028,0.017118840,0.135133862,0.003669455,0.013682435,0.112981871,0.000429373,0.002605321,0.000040873,0.000045298,0.000039046,0.000089221,0.000081741,0.000157987,0.000000499,0.000000392
0.000000631,0.227274224,0.210677102,0.000702151,0.015800836,0.014138183,0.000052035,0.000000095,0.000000198,0.092557304,0.063423276,0.060364690,0.078544527,0.019306380,0.074545547,0.157450855,0.052117709,0.109828606,0.097089030,0.514229000,0.292112648,0.007417134,0.005026001,0.000169862,0.008902194,0.197583750,0.000322899,0.010952364,0.003638152,0.015639069,0.000001532,0.000001794,0.022862295,0.000958226,0.013757755,0.012233770,0.008191690,0.015799472,0.152410477,0.003534067,0.014084329,0.132826656,0.000379239,0.002237151,0.000036944,0.000041014,0.000027622,0.000093344,0.000068711,0.000117897,0.000000483,0.000000385
0.000000630,0.228868604,0.212885097,0.000691023,0.015699884,0.013989149,0.000052407,0.000000096,0.000000196,0.092550635,0.064226501,0.059920080,0.078181170,0.018993059,0.074581854,0.159513950,0.052229106,0.110375561,0.097391628,0.516091228,0.295708776,0.007428739,0.004964754,0.000170560,0.008897468,0.198280096,0.000325499,0.010850678,0.003600806,0.016105950,0.000001519,0.000001776,0.022844071,0.000943524,0.014044393,0.012403622,0.008116644,0.016153198,0.152335480,0.003604893,0.014049531,0.133243948,0.000379905,0.002247114,0.000036711,0.000041199,0.000027179,0.000093313,0.000069493,0.000120225,0.000000484,0.000000387
0.000000631,0.222260237,0.206894517,0.000729447,0.016281964,0.014423084,0.000052427,0.000000096,0.000000195,0.092399955,0.064404987,0.059360422,0.077254228,0.019066423,0.074983642,0.158721268,0.051915664,0.111444890,0.098469436,0.516171813,0.297389627,0.007430592,0.004937585,0.000171354,0.008927493,0.196104318,0.000314514,0.010880640,0.003565599,0.016190358,0.000001548,0.000001796,0.022690974,0.000951413,0.013957947,0.012253735,0.008254009,0.016449131,0.147323385,0.003537583,0.013824607,0.129962519,0.000378842,0.002259326,0.000038677,0.000043511,0.000028405,0.000093836,0.000069960,0.000122480,0.000000482,0.000000388
0.000000561,0.264177918,0.266636640,0.000335037,0.013325893,0.011692515,0.000056450,0.000000092,0.000000203,0.086660773,0.056437388,0.067535549,0.086496867,0.013977228,0.087373883,0.195228934,0.047584996,0.099389248,0.085996330,0.507426798,0.266168922,0.007811327,0.005443918,0.000203589,0.014216471,0.205949888,0.000181597,0.011467646,0.002778188,0.013290759,0.000002839,0.000002827,0.028361553,0.001192274,0.014971150,0.012770405,0.007552501,0.013338682,0.147456244,0.002147084,0.008901290,0.072534695,0.000295400,0.002208002,0.000063764,0.000062813,0.000064018,0.000093183,0.000085268,0.000154973,0.000000447,0.000000406
0.000000549,0.275736004,0.270845681,0.000424765,0.012098375,0.010721548,0.000056839,0.000000086,0.000000187,0.089680046,0.058224492,0.072378859,0.094245084,0.017462427,0.086209744,0.161683798,0.045360431,0.091690354,0.079608642,0.501639485,0.255243033,0.007306368,0.005107296,0.000190341,0.016443286,0.212397426,0.000150618,0.011076448,0.002697197,0.015735967,0.000002977,0.000002836,0.024046017,0.001185244,0.016376635,0.013159169,0.008155558,0.016134975,0.121505626,0.002070207,0.009765604,0.071286842,0.000343229,0.002450215,0.000071912,0.000073081,0.000065935,0.000088205,0.000100295,0.000193138,0.000000435,0.000000388
0.000000669,0.337546110,0.320085824,0.000309526,0.008839505,0.008649822,0.000076602,0.000000116,0.000000251,0.071422093,0.042693228,0.080585979,0.101565048,0.013881933,0.096357666,0.188436985,0.042460136,0.081848823,0.072670318,0.489054650,0.224000797,0.008582945,0.006745906,0.000285056,0.013216053,0.197962821,0.000149042,0.008843199,0.002265743,0.010869068,0.000011801,0.000010546,0.017416606,0.000795739,0.022703065,0.021793436,0.014528205,0.020227386,0.043046188,0.001689568,0.007563288,0.048255797,0.000317858,0.003050003,0.000187683,0.000169198,0.000203335,0.000185755,0.000158153,0.000296767,0.000000514,0.000000659
0.000000738,0.338389069,0.323122233,0.000446000,0.009088819,0.008047746,0.000069642,0.000000135,0.000000263,0.069105960,0.043510474,0.081531979,0.101370893,0.009719132,0.134228364,0.219733909,0.032146573,0.082086936,0.073634595,0.489761144,0.245496422,0.009084800,0.006933277,0.000277148,0.011389004,0.178662971,0.000163551,0.007459242,0.002269208,0.006671894,0.000016087,0.000014242,0.022036679,0.000705476,0.019368552,0.020382013,0.012549161,0.011762436,0.067442596,0.002033056,0.007288201,0.039143167,0.000329886,0.003670538,0.000144268,0.000108370,0.000252461,0.000183449,0.000170992,0.000290427,0.000000610,0.000000712
0.000000697,0.367613375,0.343363822,0.000340948,0.007197310,0.007164341,0.000064881,0.000000134,0.000000234,0.067575596,0.042739604,0.085519895,0.106508113,0.012309822,0.113106892,0.193917736,0.037899669,0.080360197,0.072181232,0.507838249,0.236424863,0.009549035,0.006731527,0.000247752,0.011179987,0.178064778,0.000169893,0.006805352,0.001396455,0.007332338,0.000024351,0.000023235,0.016149333,0.001003203,0.024178527,0.021171296,0.008429852,0.017869964,0.068331875,0.001135663,0.010269108,0.043361183,0.000461818,0.003948213,0.000074499,0.000074391,0.000149394,0.000247607,0.000136064,0.000270177,0.000000564,0.000000733
0.000000703,0.396106750,0.361836672,0.000240687,0.006861129,0.007055425,0.000063332,0.000000142,0.000000215,0.065853432,0.045228846,0.082144096,0.102858663,0.011072823,0.125785291,0.199991733,0.035476729,0.083915792,0.074575573,0.506603003,0.241689041,0.009509285,0.006318701,0.000233792,0.014860200,0.159842566,0.000117696,0.006342238,0.001174776,0.007341189,0.000042942,0.000034781,0.015556626,0.001293299,0.021884998,0.017294649,0.007755365,0.016129540,0.084948629,0.000828250,0.012507856,0.035262294,0.000637230,0.004781924,0.000062568,0.000054054,0.000257347,0.000190821,0.000127389,0.000273400,0.000000535,0.000000669
0.000000991,0.328821629,0.314520419,0.000490243,0.008590994,0.008274430,0.000123218,0.000000159,0.000000396,0.073637493,0.044095770,0.057251431,0.077816240,0.011130507,0.089030899,0.226080328,0.047179364,0.104254819,0.092736386,0.534278274,0.245517388,0.009073098,0.006289472,0.000401839,0.006923330,0.215138271,0.000284014,0.006426778,0.005134221,0.008652046,0.000018268,0.000018712,0.008962308,0.000511164,0.058014315,0.071342617,0.039577581,0.031416774,0.021134153,0.002080365,0.013537120,0.039486352,0.000653417,0.003194293,0.000226386,0.000183815,0.000194935,0.000324750,0.000377333,0.000517058,0.000000733,0.000000982
0.000000839,0.366839170,0.356149107,0.000229504,0.007420038,0.008198665,0.000159707,0.000000130,0.000000403,0.063678920,0.038173672,0.062448658,0.086744808,0.010723619,0.097195089,0.224547178,0.044224415,0.098878808,0.086983420,0.525648713,0.222303405,0.011316241,0.007384173,0.000645402,0.006404540,0.186541393,0.000273106,0.005742298,0.005758759,0.012888432,0.000013708,0.000014040,0.009548371,0.000627625,0.107542515,0.126377702,0.043684520,0.054335136,0.013625160,0.001398401,0.009761620,0.032861292,0.000414742,0.002741799,0.000503856,0.000505944,0.000212352,0.000428958,0.000488821,0.000702635,0.000000700,0.000000976
0.000000847,0.362237692,0.345145524,0.000254750,0.007622079,0.008302305,0.000120803,0.000000148,0.000000450,0.066744298,0.039424498,0.070420958,0.093169920,0.012187449,0.084311284,0.212052926,0.049695309,0.090405740,0.081753857,0.505650401,0.228741646,0.011087161,0.007506484,0.000394485,0.005851694,0.209392160,0.000475267,0.005646820,0.005248408,0.006728474,0.000016799,0.000019445,0.008970918,0.000563103,0.075191557,0.096959695,0.028602839,0.024905078,0.034951866,0.001849799,0.017690664,0.057046741,0.000646812,0.002816123,0.000098933,0.000078503,0.000123073,0.000306785,0.000291816,0.000334154,0.000000773,0.000000905
0.000000634,0.310181588,0.298816532,0.000409699,0.009123852,0.008353578,0.000131651,0.000000090,0.000000292,0.133930743,0.105853587,0.153539225,0.184811279,0.013750426,0.128676876,0.177853212,0.031936120,0.046880495,0.042700127,0.472625524,0.398385555,0.005031839,0.003201630,0.000620634,0.004578190,0.188597605,0.000259228,0.005388627,0.008911509,0.012977560,0.000011594,0.000013575,0.006920741,0.000663454,0.094031394,0.120375335,0.045748979,0.062378481,0.007884397,0.000824938,0.009406522,0.043215100,0.000295377,0.002050688,0.000712754,0.000786464,0.000186111,0.000734043,0.000551752,0.000737435,0.000000549,0.000000895
0.000000617,0.310391992,0.298070729,0.000404803,0.009240916,0.008435115,0.000128200,0.000000088,0.000000285,0.136181712,0.108504765,0.153121859,0.185293093,0.013833262,0.128034323,0.177476093,0.032017373,0.047102235,0.042698801,0.473738462,0.394117802,0.004969686,0.003112208,0.000606882,0.004507365,0.189360172,0.000270927,0.005412008,0.008643075,0.012832673,0.000011185,0.000013211,0.007138435,0.000634722,0.093264133,0.119036049,0.042941853,0.059199747,0.008613284,0.000881841,0.009380050,0.043774180,0.000286623,0.001999825,0.000640663,0.000711923,0.000172778,0.000716174,0.000515910,0.000686598,0.000000554,0.000000869
0.000000637,0.263270020,0.216264099,0.001311624,0.006673079,0.010120228,0.000090677,0.000000100,0.000000236,0.226991177,0.224433929,0.251880825,0.292232275,0.011271695,0.165818617,0.199963883,0.026372239,0.031924617,0.027127130,0.534135222,0.459379494,0.002574052,0.001175247,0.000352239,0.008196472,0.254349262,0.000182155,0.006838451,0.006916780,0.003033537,0.000046436,0.000059052,0.009343938,0.001437430,0.030807981,0.056776952,0.021418329,0.012732847,0.018009271,0.000273248,0.006976561,0.029029476,0.000339396,0.002747527,0.000284244,0.000188131,0.000287617,0.000772374,0.000557472,0.000555814,0.000000602,0.000000928
0.000000618,0.264449060,0.218944103,0.001278896,0.006701882,0.009880206,0.000090371,0.000000099,0.000000230,0.226518691,0.223767623,0.254452437,0.294143617,0.011398646,0.165319011,0.198754117,0.026439758,0.031507969,0.026963379,0.531793714,0.461756706,0.002567543,0.001184148,0.000350483,0.008248340,0.256664425,0.000184844,0.006767119,0.006554200,0.003133462,0.000046332,0.000057812,0.009440552,0.001457570,0.031498428,0.056845699,0.020749809,0.012862070,0.018130481,0.000268886,0.006836489,0.029363755,0.000330123,0.002732450,0.000280185,0.000186491,0.000294241,0.000736676,0.000548977,0.000556495,0.000000595,0.000000911
0.000000630,0.237586498,0.196820080,0.001389692,0.008226993,0.011919446,0.000091395,0.000000100,0.000000239,0.220758811,0.219317243,0.244674742,0.283977300,0.012449683,0.155626252,0.189117402,0.027395105,0.032908145,0.027931053,0.528864086,0.454228193,0.002705990,0.001233940,0.000349215,0.008575303,0.252429813,0.000172191,0.006410153,0.006820824,0.002894038,0.000046244,0.000058987,0.009730801,0.001709964,0.033209465,0.058815517,0.021229183,0.012946350,0.017609453,0.000228413,0.006772194,0.029631745,0.000324635,0.002848781,0.000283539,0.000186022,0.000298469,0.000771223,0.000591143,0.000580389,0.000000646,0.000000949
