_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0.000000463,0.191777527,0.188061193,0.002293373,0.010199169,0.004352361,0.000036876,0.000000031,0.000000124,0.123621158,0.107650541,0.052942533,0.069585726,0.012352384,0.249102831,0.263141185,0.022179948,0.180501983,0.183218569,0.565392256,0.526937962,0.008506853,0.003018110,0.000157670,0.011725389,0.153469548,0.000186683,0.032142054,0.010039007,0.006380129,0.000001579,0.000002847,0.010615072,0.003888385,0.005378794,0.004770968,0.005090387,0.016314926,0.129022673,0.000322161,0.022551492,0.197302356,0.000428883,0.000344214,0.000025443,0.000029275,0.000020749,0.000149062,0.000018453,0.000021907,0.000000198,0.000000156
0.000000504,0.220636711,0.213409647,0.002179022,0.012313816,0.006258653,0.000060773,0.000000038,0.000000114,0.493939072,0.422484130,0.453946054,0.443027109,0.161315054,0.033603229,0.036414869,0.148239642,0.023724679,0.021109944,0.826498568,0.742140889,0.001592972,0.000295715,0.000149405,0.032867871,0.246298164,0.000187287,0.023408258,0.008433863,0.011947007,0.000002017,0.000002981,0.008297694,0.004230555,0.011081041,0.010706265,0.009738408,0.034904387,0.089599848,0.000291171,0.026634697,0.234012708,0.000617095,0.000409164,0.000030544,0.000031450,0.000026128,0.000138049,0.000048890,0.000046573,0.000000224,0.000000220
0.000000478,0.187489614,0.200090125,0.003827126,0.013337188,0.006992300,0.000084067,0.000000029,0.000000113,0.511743665,0.482153863,0.463666439,0.454593599,0.130182981,0.042047884,0.046881855,0.122601897,0.023881171,0.019103440,0.828685045,0.749900937,0.001630008,0.000219810,0.000221731,0.033473223,0.241842926,0.000163764,0.025501328,0.019430127,0.021387642,0.000000610,0.000000909,0.011670075,0.004412006,0.014623563,0.015882280,0.015242987,0.042499170,0.075925022,0.000349566,0.020808330,0.254460543,0.000299928,0.000312385,0.000075206,0.000083639,0.000024647,0.000118099,0.000063636,0.000056550,0.000000225,0.000000195
0.000000364,0.043811549,0.068469152,0.011426277,0.057217985,0.025311220,0.000106946,0.000000030,0.000000145,0.626786113,0.567584515,0.626914620,0.610170484,0.093837954,0.084455460,0.065420769,0.057927612,0.012387435,0.009115032,0.777023137,0.675541043,0.001170395,0.000145592,0.000395942,0.063874200,0.293900251,0.000120070,0.024074264,0.036541093,0.038179379,0.000000318,0.000000459,0.024883682,0.007482373,0.021131460,0.025478799,0.022845125,0.051540550,0.064571008,0.000229685,0.011428944,0.208834663,0.000167661,0.000384637,0.000225305,0.000261958,0.000031056,0.000101794,0.000151832,0.000126602,0.000000415,0.000000213
0.000001245,0.170294657,0.147200540,0.004861787,0.017979993,0.010478640,0.000110185,0.000000044,0.000000139,0.547240257,0.538045704,0.488616109,0.471139699,0.073727362,0.078170180,0.070252612,0.074369699,0.023471018,0.017255727,0.888262868,0.810440600,0.001549620,0.000164190,0.000215694,0.018061278,0.216851935,0.000262473,0.032850154,0.089092404,0.042322740,0.000000317,0.000000629,0.010773453,0.005885573,0.009275157,0.012647269,0.033011988,0.058443651,0.079373494,0.000452430,0.033860471,0.238624275,0.000770314,0.000658735,0.000120765,0.000131649,0.000012058,0.000129561,0.000154850,0.000101104,0.000000284,0.000000259
0.000001860,0.074986108,0.076677851,0.008365516,0.041313007,0.016808610,0.000047729,0.000000049,0.000000118,0.319844276,0.305702507,0.074303105,0.090496331,0.038997225,0.130608022,0.136472657,0.048723798,0.173874870,0.186954081,0.793891490,0.773648560,0.002803628,0.000690568,0.000040096,0.011162152,0.122640617,0.000055164,0.069204248,0.062054053,0.058853362,0.000002405,0.000004959,0.000387276,0.009509250,0.001575794,0.000887700,0.067047752,0.178297058,0.020896843,0.000176402,0.384021610,0.556219339,0.016187655,0.000270203,0.000066188,0.000062634,0.000018296,0.000203848,0.000005602,0.000005400,0.000000073,0.000000158
0.000002220,0.177452996,0.172068447,0.003945710,0.014162809,0.006072449,0.000054214,0.000000051,0.000000150,0.271997660,0.318259418,0.076102734,0.093906008,0.022837099,0.194354221,0.193266988,0.029915528,0.167417437,0.166880921,0.704916000,0.735557318,0.002964538,0.000611706,0.000040944,0.005962884,0.106552541,0.000047768,0.059163656,0.023166455,0.057074990,0.000021504,0.000031406,0.000155496,0.001127772,0.001412367,0.000815040,0.112043299,0.225635141,0.004140817,0.000796441,0.399458557,0.539625943,0.018908171,0.000232460,0.000194798,0.000179880,0.000138229,0.000480060,0.000004785,0.000006884,0.000000067,0.000000221
0.000002928,0.267875403,0.190905809,0.004883375,0.010838332,0.005193306,0.000080979,0.000000089,0.000000175,0.307135582,0.273119301,0.083347261,0.095936030,0.034071904,0.146094784,0.154010430,0.045818649,0.159681767,0.174764872,0.761697948,0.749994993,0.002517784,0.001109942,0.000043707,0.005569083,0.160650045,0.000085782,0.085657425,0.094833635,0.099669173,0.000005965,0.000010463,0.000185932,0.000959348,0.001862763,0.001148456,0.130960017,0.159384370,0.008812053,0.001885736,0.626444161,0.746324897,0.018806741,0.000319053,0.000128484,0.000099194,0.000055465,0.000242239,0.000006217,0.000005110,0.000000062,0.000000256
0.000001959,0.194601625,0.149010509,0.003766894,0.014517832,0.006239849,0.000040116,0.000000073,0.000000129,0.221438378,0.188596651,0.074400678,0.076360419,0.031983759,0.162543312,0.160086736,0.039124761,0.166905418,0.202366382,0.614713192,0.719064653,0.003572040,0.001953914,0.000028989,0.006598996,0.143182993,0.000101916,0.079295538,0.066024110,0.075907856,0.000002867,0.000005756,0.000267784,0.009607977,0.001001950,0.000497360,0.055471651,0.152541518,0.024903409,0.000207237,0.575490952,0.710118413,0.029311499,0.000457150,0.000040241,0.000036933,0.000017679,0.000149025,0.000003885,0.000003685,0.000000052,0.000000156
0.000002065,0.294561416,0.228428632,0.001381621,0.008628367,0.005080895,0.000053979,0.000000071,0.000000151,0.291333169,0.243218690,0.068403013,0.074273869,0.028976539,0.223720118,0.221212223,0.022872271,0.189813554,0.227982864,0.761686206,0.761891007,0.002485344,0.001544402,0.000032938,0.012555219,0.169398755,0.000057510,0.089219727,0.056516815,0.066307202,0.000004340,0.000006910,0.000234705,0.006301038,0.001173546,0.000657334,0.087372400,0.118476376,0.022283930,0.000336040,0.649698853,0.837311745,0.022893032,0.000293106,0.000042146,0.000025967,0.000040431,0.000099458,0.000003574,0.000002853,0.000000051,0.000000146
